title,price_pln,year,mileage_km,location,url,date_scraped_utc,first_seen_utc
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,204900,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3aL0.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:38+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,214900,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HIicM.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,229500,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4EXf.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,149000,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3oqs.html,2026-06-01T12:47:38+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,214900,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3LTB.html,2026-06-02T11:26:53+00:00,2026-06-01T12:47:38+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,214900,2026,5,Wieliczka (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3ADm.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:38+00:00
Honda CR-V e:HEV 2.0 i-MMD AWD Advance,209900,2025,20251,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HvU6m.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:38+00:00
Honda CR-V 2.0 i-MMD HEV Advance AWD CVT,234900,2026,10,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I1xwb.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:38+00:00
Honda CR-V 2.0 i-MMD PHEV Advance Tech 2WD CVT,229500,2026,20261,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4QMN.html,2026-06-06T09:32:37+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,164900,2025,6000,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HYnqb.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:38+00:00
Honda CR-V 2.0 i-MMD HEV Advance AWD CVT,234900,2026,20261,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HWYm5.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,229500,2026,20261,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4QNM.html,2026-06-06T09:32:37+00:00,2026-06-01T12:47:38+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,69900,2024,13000,Mazowiecki (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5ycy.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,208500,2025,10,Łódź (Łódzkie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HTv96.html,2026-06-02T11:26:52+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,96000,2023,36457,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5ffJ.html,2026-06-06T09:32:37+00:00,2026-06-01T12:47:38+00:00
Honda CR-V,59000,2023,81407,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I2XVT.html,2026-06-04T10:44:50+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,64000,2024,34918,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4nqR.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,79000,2025,9210,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3dJ0.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 1.5 Lifestyle (Honda Connect+) CVT,55000,2026,13928,Łódź (Łódzkie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I2IbU.html,2026-06-02T11:26:52+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,89000,2025,7797,Tarnów (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4K9N.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,44900,2025,41233,Mazowieckie (Podlaskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5qHO.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,74900,2025,16500,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I31xb.html,2026-06-05T10:55:34+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,80000,2025,42599,Polski (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4cbm.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,69000,2025,14056,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3ntS.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 2.0 i-MMD HEV Advance AWD CVT,75000,2025,32330,Tarnów (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5aIo.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 2.0 i-MMD HEV Advance AWD CVT,114385,2024,39000,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HIhtp.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V e:HEV 2.0 i-MMD 2WD Elegance,138800,2023,0,Radomice (Świętokrzyskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I4fb0.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,219100,2026,20261,Lublin (Lubelskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3CLl.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:37+00:00
Honda CR-V,73800,2023,34000,Kraków (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I1xb7.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,214900,2026,20261,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3ioy.html,2026-06-06T09:32:36+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,214900,2026,20261,Poznań (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I37rW.html,2026-06-05T10:55:35+00:00,2026-06-01T12:47:37+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,214900,2026,5,Wieliczka (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3Ap1.html,2026-06-07T10:11:48+00:00,2026-06-01T12:47:37+00:00
